"idequivalence_relationship"	"equivalence_term"	"term_descritor_idterm_descritor"
"65"	3796	"Cancer of the Breast"	484
"66"	3797	"Human Mammary Carcinoma"	484
"67"	3798	"Malignant Tumor of Breast"	484
"68"	3799	"Mammary Carcinoma, Human"	484
"69"	3800	"T47D"	484
"70"	3801	"Mammary Neoplasms, Human"	484
"71"	3802	"MFC 7"	484
"72"	3803	"SKBR3"	484
"73"	3804	"breast carcinogenesis"	484
"74"	3805	"MDA-MB 231"	484
"75"	3806	"Human Mammary Carcinomas"	484
"76"	3807	"Human Mammary Neoplasm"	484
"77"	3808	"Human Mammary Neoplasms"	484
"78"	3809	"MDA-MB-231"	484
"79"	3810	"MCF10A"	484
"80"	3811	"TNBC"	484
"81"	3812	"Cancer of Breast"	484
"82"	3813	"Breast Neoplasms, Male"	485
"83"	3814	"Breast Cancer, Male"	485
"84"	3815	"Breast Carcinoma, Male"	485
"85"	3816	"Breast Tumors, Male"	485
"86"	3817	"Neoplasms, Male Breast"	485
"87"	3818	"Tumors, Breast, Male"	485
"88"	3819	"Breast Neoplasm, Male"	485
"89"	3820	"Breast Tumor, Male"	485
"90"	3821	"Cancer, Male Breast"	485
"91"	3822	"Carcinoma, Male Breast"	485
"92"	3823	"Male Breast Carcinoma"	485
"93"	3824	"Male Breast Neoplasm"	485
"94"	3825	"Male Breast Tumor"	485
"95"	3826	"Male Breast Tumors"	485
"96"	3827	"Neoplasm, Male Breast"	485
"97"	3828	"Tumor, Male Breast"	485
"98"	3829	"Tumors, Male Breast"	485
"99"	3830	"Neoplasms, Breast, Male"	485
"100"	3831	"Male Breast Neoplasms"	485
"101"	3832	"Carcinoma of Male Breast"	485
"102"	3833	"Carcinoma of the Male Breast"	485
"103"	3834	"Carcinoma of male breast"	485
"104"	3835	"Malignant neoplasm of male breast"	485
"105"	3836	"Neoplasm of male breast (disorder)"	485
"106"	3837	"HBOC Syndrome"	486
"107"	3838	"HBOC Syndromes"	486
"108"	3839	"Syndrome, HBOC"	486
"109"	3840	"Syndromes, HBOC"	486
"110"	3841	"Hereditary breast ovarian cancer"	486
"111"	3844	"Familial breast and ovarian cancer syndrome"	486
"112"	3845	"ER-Negative PR-Negative HER2-Negative Breast Cancer"	487
"113"	3846	"ER-Negative PR-Negative HER2-Negative Breast Neoplasms"	487
"114"	3847	"Triple Negative Breast Cancer"	487
"115"	3848	"Triple-Negative Breast Cancer"	487
"116"	3849	"Triple-Negative Breast Neoplasm"	487
"117"	3850	"Breast Cancer, Triple-Negative"	487
"118"	3851	"Breast Cancers, Triple-Negative"	487
"119"	3852	"Breast Neoplasm, Triple-Negative"	487
"120"	3853	"Breast Neoplasms, Triple-Negative"	487
"121"	3854	"ER Negative PR Negative HER2 Negative Breast Cancer"	487
"122"	3855	"ER Negative PR Negative HER2 Negative Breast Neoplasms"	487
"123"	3856	"Triple Negative Breast Neoplasm"	487
"124"	3857	"Triple-Negative Breast Cancers"	487
"125"	3858	"Triple-Negative Breast Neoplasms"	487
"126"	3859	"Inflammatory Breast Cancer (IBC)"	488
"127"	3860	"Inflammatory Breast Carcinoma"	488
"128"	3861	"Breast Cancer, Inflammatory"	488
"129"	3862	"Breast Cancers, Inflammatory"	488
"130"	3863	"Breast Carcinoma, Inflammatory"	488
"131"	3864	"Breast Carcinomas, Inflammatory"	488
"132"	3865	"Breast Neoplasm, Inflammatory"	488
"133"	3866	"Breast Neoplasms, Inflammatory"	488
"134"	3867	"Cancer, Inflammatory Breast"	488
"135"	3868	"Cancers, Inflammatory Breast"	488
"136"	3869	"Carcinoma, Inflammatory Breast"	488
"137"	3870	"Carcinomas, Inflammatory Breast"	488
"138"	3871	"Inflammatory Breast Cancers"	488
"139"	3872	"Inflammatory Breast Carcinomas"	488
"140"	3873	"Inflammatory Breast Neoplasm"	488
"141"	3874	"Neoplasm, Inflammatory Breast"	488
"142"	3875	"Neoplasms, Inflammatory Breast"	488
"143"	3876	"digestive neoplasm"	489
"144"	3877	"Digestive System Neoplasm"	489
"145"	3878	"Neoplasm of digestive system"	489
"146"	3879	"Neoplasm of digestive tract"	489
"147"	3880	"Digestive System Neoplasms"	489
"148"	3881	"Cancer of the Digestive System"	489
"149"	3882	"Neoplasms, Digestive System"	489
"150"	3883	"Cancer, Digestive System"	489
"151"	3884	"Cancers, Digestive System"	489
"152"	3885	"Digestive System Cancers"	489
"153"	3886	"Neoplasm, Digestive System"	489
"154"	3887	"Cancer of Digestive System"	489
"155"	3888	"Digestive System Cancer"	489
"156"	3889	"Anus Neoplasms"	490
"157"	3890	"Neoplasms, Anal"	490
"158"	3891	"Anal Neoplasms"	490
"159"	3892	"Anal Neoplasm"	490
"160"	3893	"Neoplasm, Anal"	490
"161"	3894	"Neoplasms, Anus"	490
"162"	3895	"Anus Neoplasm"	490
"163"	3896	"Neoplasm, Anus"	490
"164"	3897	"Anal Cancers"	490
"165"	3898	"Cancer, Anal"	490
"166"	3899	"Cancers, Anal"	490
"167"	3900	"Cancer of the Anus"	490
"168"	3901	"Cancer of Anus"	490
"169"	3902	"Anus Cancer"	490
"170"	3903	"Anus Cancers"	490
"171"	3904	"Anus carcinoma"	490
"172"	3905	"Anal Carcinoma"	490
"173"	3906	"Carcinoma of the Anus"	490
"174"	3907	"Malignant anal tumor"	490
"175"	3908	"Ca anus"	490
"176"	3909	"Carcinoma of anus"	490
"177"	3910	"Appendiceal Neoplasm"	491
"178"	3911	"Neoplasm, Appendiceal"	491
"179"	3912	"Neoplasms, Appendiceal"	491
"180"	3913	"Appendiceal Cancer"	491
"181"	3914	"Cancer, Appendiceal"	491
"182"	3915	"Cancer of the Appendix"	491
"183"	3916	"Cancer, Appendix"	491
"184"	3917	"Cancer of Appendix"	491
"185"	3918	"Cancer of Appendix"	491
"186"	3919	"Malignant Tumor of the Appendix"	491
"187"	3920	"Malignant neoplasm of appendix vermiformis"	491
"188"	3921	"Malignant tumor of appendix (disorder)"	491
"189"	3922	"Bile Duct Neoplasm"	492
"190"	3923	"Bile Duct Neoplasms"	492
"191"	3924	"Neoplasm, Bile Duct"	492
"192"	3925	"Neoplasms, Bile Duct"	492
"193"	3926	"Bile Duct Cancers"	492
"194"	3927	"Cancer, Bile Duct"	492
"195"	3928	"Cancers, Bile Duct"	492
"196"	3929	"Cancer of the Bile Duct"	492
"197"	3930	"Cancer of Bile Duct"	492
"198"	3931	"BILE DUCT CARCINOMA"	492
"199"	3932	"CARCINOMA OF BILE DUCT"	492
"200"	3933	"Carcinoid Tumors"	493
"201"	3934	"Tumor, Carcinoid"	493
"202"	3935	"Tumors, Carcinoid"	493
"203"	3936	"Carcinoid"	493
"204"	3937	"Carcinoids"	493
"205"	3938	"Carcinoid, Goblet Cell"	493
"206"	3939	"Carcinoids, Goblet Cell"	493
"207"	3940	"Goblet Cell Carcinoid"	493
"208"	3941	"Goblet Cell Carcinoids"	493
"209"	3942	"Argentaffinoma"	493
"210"	3943	"Argentaffinomas"	493
"211"	3944	"Carcinoid Neoplasm"	493
"212"	3945	"Colonic Neoplasm"	494
"213"	3946	"colon neoplasia"	494
"214"	3947	"colon adenocarcinoma"	494
"215"	3948	"HCT116"	494
"216"	3949	"Colon Neoplasm"	494
"217"	3950	"colon carcinoma"	494
"218"	3951	"colon tumor"	494
"219"	3952	"Cancer of Colon"	494
"220"	3953	"Colon Cancers"	494
"221"	3954	"Cancer of the Colon"	494
"222"	3955	"Colonic Cancer"	494
"223"	3956	"HCT-116"	494
"224"	3957	"HCT 116"	494
"225"	3958	"Colonic Cancers"	494
"226"	3959	"colon adenoma"	494
"227"	3960	"HT-29"	494
"228"	3961	"Neoplasm, Sigmoid"	495
"229"	3962	"Sigmoid Neoplasm"	495
"230"	3963	"Sigmoid Colon Neoplasms"	495
"231"	3964	"Colon Neoplasms, Sigmoid"	495
"232"	3965	"Neoplasm, Sigmoid Colon"	495
"233"	3966	"Neoplasms, Sigmoid Colon"	495
"234"	3967	"Sigmoid Colon Neoplasm"	495
"235"	3968	"Neoplasms, Sigmoid"	495
"236"	3969	"Sigmoid Cancer"	495
"237"	3970	"Cancer, Sigmoid"	495
"238"	3971	"Sigmoidal Cancer"	495
"239"	3972	"Sigmoid Colon Cancer"	495
"240"	3973	"Cancer, Sigmoid Colon"	495
"241"	3974	"Colon Cancer, Sigmoid"	495
"242"	3975	"Cancer of Sigmoid"	495
"243"	3976	"Cancer of the Sigmoid"	495
"244"	3977	"Hereditary Non-Polyposis Colorectal Cancer"	496
"245"	3978	"Familial Nonpolyposis Colon Cancer"	496
"246"	3979	"Hereditary Nonpolyposis Colorectal Cancer"	496
"247"	3980	"Colorectal Cancer Hereditary Nonpolyposis"	496
"248"	3981	"Lynch Syndrome I"	496
"249"	3982	"Lynch Cancer Family Syndrome I"	496
"250"	3983	"Lynch Syndrome"	496
"251"	3984	"colorectal polyps"	15585
"252"	3985	"HNPCC"	496
"253"	3986	"Hereditary Nonpolyposis Colon Cancer"	496
"254"	3987	"Lynch cancer family syndrome 2"	497
"255"	3988	"Lynch Cancer Family Syndrome II"	497
"256"	3989	"colorectal adenocarcinoma"	15585
"257"	3990	"colorectal adenoma"	15585
"258"	3991	"Esophageal Neoplasm"	498
"259"	3992	"Neoplasm, Esophageal"	498
"260"	3993	"Esophagus Neoplasm"	498
"261"	3994	"esophag squamous cell carcinoma"	498
"262"	3995	"Neoplasm, Esophagus"	498
"263"	3996	"esophag adenocarcinoma"	498
"264"	3997	"Neoplasms, Esophageal"	498
"265"	3998	"Cancer of Esophagus"	498
"266"	3999	"Cancer of the Esophagus"	498
"267"	4000	"Esophagus Cancer"	498
"268"	4001	"esophageal carcinoma"	498
"269"	4002	"Esophagus carcinoma"	498
"270"	4003	"Esophagus Cancers"	498
"271"	4004	"Cancer, Esophageal"	498
"272"	4005	"Cancers, Esophageal"	498
"273"	4006	"Esophageal Cancers"	498
"274"	4007	"Gallbladder Neoplasms"	499
"275"	4008	"Gallbladder Neoplasm"	499
"276"	4009	"Neoplasm, Gallbladder"	499
"277"	4010	"Neoplasms, Gallbladder"	499
"278"	4011	"Cancer of Gallbladder"	499
"279"	4012	"Gallbladder Cancers"	499
"280"	4013	"Cancer, Gallbladder"	499
"281"	4014	"Cancers, Gallbladder"	499
"282"	4015	"Gall Bladder Cancer"	499
"283"	4016	"Bladder Cancer, Gall"	499
"284"	4017	"Bladder Cancers, Gall"	499
"285"	4018	"Cancer, Gall Bladder"	499
"286"	4019	"Cancers, Gall Bladder"	499
"287"	4020	"Gall Bladder Cancers"	499
"288"	4021	"Cancer of the Gallbladder"	499
"289"	4022	"Stomach Neoplasms"	500
"290"	4023	"gastric carcinoma"	500
"291"	4024	"Stomach Neoplasm"	500
"292"	4025	"MKN45"	500
"293"	4026	"Gastric Neoplasms"	500
"294"	4027	"Gastric Neoplasm"	500
"295"	4028	"SGC-7901"	500
"296"	4029	"gastric carcinogenesis"	500
"297"	4030	"Cancer of Stomach"	500
"298"	4031	"Stomach Cancers"	500
"299"	4032	"Cancer, Gastric"	500
"300"	4033	"gastric tumor"	500
"301"	4034	"Gastric Cancers"	500
"302"	4035	"Stomach Cancer"	500
"303"	4036	"Cancer, Stomach"	500
"304"	4037	"MGC-803"	500
"305"	4038	"Cancer of the Stomach"	500
"306"	4039	"gastric tumor"	500
"307"	4040	"GIST"	501
"308"	4041	"Stromal Tumors, Gastrointestinal"	501
"309"	4042	"Gastrointestinal Stromal Tumours"	501
"310"	4043	"Tumors, Gastrointestinal Stromal"	501
"311"	4044	"Gastrointestinal Stromal Neoplasms"	501
"312"	4045	"Neoplasm, Gastrointestinal Stromal"	501
"313"	4046	"Neoplasms, Gastrointestinal Stromal"	501
"314"	4047	"Stromal Neoplasm, Gastrointestinal"	501
"315"	4048	"Stromal Neoplasms, Gastrointestinal"	501
"316"	4049	"Gastrointestinal Stromal Tumor"	501
"317"	4050	"Gastrointestinal Stromal Neoplasm"	501
"318"	4051	"Gastrointestinal Stromal Sarcoma"	501
"319"	4052	"Adenoma, Islet Cell"	502
"320"	4053	"Adenomas, Islet Cell"	502
"321"	4054	"Islet Cell Adenoma"	502
"322"	4055	"Islet Cell Adenomas"	502
"323"	4056	"Islet Cell Tumor"	502
"324"	4057	"Tumor, Islet Cell"	502
"325"	4058	"Tumors, Islet Cell"	502
"326"	4059	"Island Cell Tumor"	502
"327"	4060	"Island Cell Tumors"	502
"328"	4061	"Tumor, Island Cell"	502
"329"	4062	"Tumors, Island Cell"	502
"330"	4063	"Nesidioblastoma"	502
"331"	4064	"Gastrinomas"	503
"332"	4065	"Islet Cell Tumor, Ulcerogenic"	503
"333"	4066	"Ulcerogenic Islet Cell Tumor"	503
"334"	4067	"Gastrin-Producing Tumor"	503
"335"	4068	"Gastrin Producing Tumor"	503
"336"	4069	"Gastrin-Producing Tumors"	503
"337"	4070	"Tumor, Gastrin-Producing"	503
"338"	4071	"Tumors, Gastrin-Producing"	503
"339"	4072	"Vipomas"	504
"340"	4073	"Diarrheogenic Tumor"	504
"341"	4074	"Diarrheogenic Tumors"	504
"342"	4075	"Tumor, Diarrheogenic"	504
"343"	4076	"Tumors, Diarrheogenic"	504
"344"	4077	"Pancreatic VIPoma"	504
"345"	4078	"Pancreatic VIPomas"	504
"346"	4079	"VIPoma, Pancreatic"	504
"347"	4080	"VIPomas, Pancreatic"	504
"348"	4081	"Vasoactive Intestinal Peptide-Producing Tumor"	504
"349"	4082	"Vasoactive Intestinal Peptide Producing Tumor"	504
"350"	4083	"VIP-Secreting Tumor (VIPoma)"	504
"351"	4084	"Tumor, VIP-Secreting (VIPoma)"	504
"352"	4085	"Tumors, VIP-Secreting (VIPoma)"	504
"353"	4086	"VIP Secreting Tumor (VIPoma)"	504
"354"	4087	"VIP-Secreting Tumors (VIPoma)"	504
"355"	4088	"Diarrheogenic Islet Cell Tumor"	504
"356"	4089	"Vasoactive Intestinal Peptide (VIP) Tumor"	504
"357"	4090	"Pancreatic Cholera"	504
"358"	4091	"Cholera, Pancreatic"	504
"359"	4092	"Vipoma Syndrome"	504
"360"	4093	"Syndrome, Vipoma"	504
"361"	4094	"Watery Diarrhea Syndrome"	504
"362"	4095	"Watery Diarrhea, Hypokalemia, and Achlorhydria Syndrome"	504
"363"	4096	"WDHA"	504
"364"	4097	"WDHH"	504
"365"	4098	"WDHA Syndrome"	504
"366"	4099	"WDHA Syndromes"	504
"367"	4100	"Verner-Morrison Syndrome"	504
"368"	4101	"Syndrome, Verner-Morrison"	504
"369"	4102	"Verner Morrison Syndrome"	504
"370"	4103	"Watery Diarrhea with Hypokalemic Alkalosis"	504
"371"	4104	"HUH-7"	506
"372"	4105	"SK-HEP-1"	506
"373"	4107	"liver carcinogenesis"	506
"374"	4108	"HEPG-2"	506
"375"	4110	"HEPG2"	506
"376"	4111	"SK-HEP1"	506
"377"	4112	"HEP3B"	506
"378"	4113	"liver tumor"	506
"379"	4119	"SMMC-7721"	506
"380"	4121	"Hepatoma"	506
"381"	4122	"Hepatomas"	506
"382"	4123	"Liver Neoplasms"	506
"383"	4124	"Neoplasms, Hepatic"	506
"384"	4125	"Hep G2"	506
"385"	4126	"Neoplasm, Liver"	506
"386"	4127	"Hepatic Neoplasms"	506
"387"	4128	"Hepatic Neoplasm"	506
"388"	4129	"Neoplasm, Hepatic"	506
"389"	4130	"Cancer of Liver"	506
"390"	4131	"Hepatocellular Cancer"	506
"391"	4132	"Cancers, Hepatocellular"	506
"392"	4133	"Hepatocellular Cancers"	506
"393"	4134	"Hepatic Cancer"	506
"394"	4135	"Cancer, Hepatic"	506
"395"	4136	"H-22"	506
"396"	4137	"HepG2"	506
"397"	4138	"Cancer, Liver"	506
"398"	4139	"hep-g2"	506
"399"	4141	"Cancer of the Liver"	506
"400"	4142	"BEL-7402"	506
"401"	4143	"Pancreatic Neoplasm"	507
"402"	4144	"Pancreatic Neoplasms"	507
"403"	4145	"Panc1"	507
"404"	4146	"Pancreas Neoplasms"	507
"405"	4147	"pancreatic tumor"	507
"406"	4148	"pancreat carcinoma"	507
"407"	4149	"Pancreas Neoplasm"	507
"408"	4150	"pancreat adenocarcinoma"	507
"409"	4151	"Cancer of Pancreas"	507
"410"	4152	"Pancreas Cancers"	507
"411"	4153	"Pancreas Cancer"	507
"412"	4154	"PANC-1"	507
"413"	4155	"Panc 1"	507
"414"	4156	"Cancer, Pancreatic"	507
"415"	4157	"panc.1"	507
"416"	4158	"Pancreatic Cancers"	507
"417"	4159	"Cancer of the Pancreas"	507
"418"	4160	"Neoplasm, Rectal"	508
"419"	4161	"Rectal Neoplasm"	508
"420"	4162	"Rectum Neoplasms"	508
"421"	4163	"Rectal Neoplasms"	508
"422"	4164	"Neoplasm, Rectum"	508
"423"	4165	"Neoplasms, Rectum"	508
"424"	4166	"Rectum Neoplasm"	508
"425"	4167	"Neoplasms, Rectal"	508
"426"	4168	"Rectal Tumors"	508
"427"	4169	"Rectal Tumor"	508
"428"	4170	"Tumor, Rectal"	508
"429"	4171	"Tumors, Rectal"	508
"430"	4172	"Cancer of Rectum"	508
"431"	4173	"Rectum Cancers"	508
"432"	4174	"Cancer, Rectal"	508
"433"	4175	"Cancers, Rectal"	508
"434"	4176	"Rectal Cancers"	508
"435"	4177	"Rectum Cancer"	508
"436"	4178	"Cancer, Rectum"	508
"437"	4179	"Cancers, Rectum"	508
"438"	4180	"Cancer of the Rectum"	508
"439"	4191	"Disease, Endocrine System"	510
"440"	4192	"Diseases, Endocrine System"	510
"441"	4193	"Endocrine System Disease"	510
"442"	4194	"System Disease, Endocrine"	510
"443"	4195	"System Diseases, Endocrine"	510
"444"	4196	"Endocrine Diseases"	510
"445"	4197	"Disease, Endocrine"	510
"446"	4198	"Diseases, Endocrine"	510
"447"	4199	"Endocrine Disease"	510
"448"	4200	"Diseases of Endocrine System"	510
"449"	4201	"Endocrine System Diseases"	510
"450"	4202	"Adrenocortical Carcinomas"	511
"451"	4203	"Carcinomas, Adrenocortical"	511
"452"	4204	"Carcinoma, Adrenocortical"	511
"453"	4205	"Carcinoma, Adrenal Cortical"	511
"454"	4206	"Adrenal Cortical Carcinoma"	511
"455"	4207	"Adrenal Cortical Carcinomas"	511
"456"	4208	"Carcinomas, Adrenal Cortical"	511
"457"	4209	"Carcinoma, Merkel Cell"	512
"458"	4210	"Merkle Tumors"	512
"459"	4211	"Tumors, Merkle"	512
"460"	4212	"Merkel Cell Tumor"	512
"461"	4213	"Tumor, Merkel Cell"	512
"462"	4214	"Merkel Cell Cancer"	512
"463"	4215	"Cancer, Merkel Cell"	512
"464"	4216	"Cell Cancer, Merkel"	512
"465"	4217	"Neuroendocrine Tumors"	513
"466"	4218	"Tumor, Neuroendocrine"	513
"467"	4219	"Tumors, Neuroendocrine"	513
"468"	4220	"Parathyroid Neoplasms"	514
"469"	4221	"Neoplasm, Parathyroid"	514
"470"	4222	"Parathyroid Neoplasm"	514
"471"	4223	"Neoplasms, Parathyroid"	514
"472"	4224	"Parathyroid Carcinoma"	514
"473"	4225	"Carcinoma, Parathyroid"	514
"474"	4226	"Carcinomas, Parathyroid"	514
"475"	4227	"Parathyroid Carcinomas"	514
"476"	4228	"Cancer of Parathyroid"	514
"477"	4229	"Parathyroid Cancers"	514
"478"	4230	"Cancer of the Parathyroid"	514
"479"	4231	"Cancer, Parathyroid"	514
"480"	4232	"Cancers, Parathyroid"	514
"481"	4233	"Parathyroid Adenoma"	514
"482"	4234	"Adenoma, Parathyroid"	514
"483"	4235	"Adenomas, Parathyroid"	514
"484"	4236	"Parathyroid Adenomas"	514
"485"	4237	"Pheochromocytomas"	515
"486"	4238	"Pheochromocytoma, Extra-Adrenal"	515
"487"	4239	"Extra-Adrenal Pheochromocytoma"	515
"488"	4240	"Extra-Adrenal Pheochromocytomas"	515
"489"	4241	"Pheochromocytoma, Extra Adrenal"	515
"490"	4242	"PC12"	515
"491"	4243	"MEA II"	516
"492"	4244	"MEA IIa"	516
"493"	4245	"MEN 2"	516
"494"	4246	"MEN 2a"	516
"495"	4247	"MEN II"	516
"496"	4248	"MEN IIa"	516
"497"	4249	"MEN-2A Syndrome"	516
"498"	4250	"MEN 2A Syndrome"	516
"499"	4251	"MEN-2A Syndromes"	516
"500"	4252	"MEN2a"	516
"501"	4253	"Multiple Endocrine Neoplasia Type 2"	516
"502"	4254	"Multiple Endocrine Neoplasms Type 2a"	516
"503"	4255	"Neoplasia, Multiple Endocrine Type 2a"	516
"504"	4256	"Neoplasms, Multiple Endocrine Type 2a"	516
"505"	4257	"Pheochromocytoma And Amyloid-Producing Medullary Thyroid Carcinoma"	516
"506"	4258	"Pheochromocytoma And Amyloid Producing Medullary Thyroid Carcinoma"	516
"507"	4259	"Sipple Syndrome"	516
"508"	4260	"Multiple Endocrine Neoplasia, Type IIa"	516
"509"	4261	"MEA 2a"	516
"510"	4262	"MEN2b"	517
"511"	4263	"Multiple Endocrine Neoplasms Type 2b"	517
"512"	4264	"Neoplasia, Multiple Endocrine Type 2b"	517
"513"	4265	"Neoplasms, Multiple Endocrine Type 2b"	517
"514"	4266	"Neuromata, Mucosal, With Endocrine Tumors"	517
"515"	4267	"Wagenmann-Froboese Syndrome"	517
"516"	4268	"Syndrome, Wagenmann-Froboese"	517
"517"	4269	"Wagenmann Froboese Syndrome"	517
"518"	4270	"Multiple Endocrine Neoplasia, Type IIb"	517
"519"	4271	"MEA 2b"	517
"520"	4272	"MEA IIb"	517
"521"	4273	"MEN 2b"	517
"522"	4274	"MEN 3"	517
"523"	4275	"MEN IIb"	517
"524"	4276	"MEN III"	517
"525"	4277	"Mucosal Neuroma Syndrome"	517
"526"	4278	"Mucosal Neuroma Syndromes"	517
"527"	4279	"Neuroma Syndrome, Mucosal"	517
"528"	4280	"Multiple Endocrine Neoplasia, Type 2b"	517
"529"	4281	"Pituitary Neoplasms"	518
"530"	4282	"Neoplasm, Pituitary"	518
"531"	4283	"Neoplasms, Pituitary"	518
"532"	4284	"Pituitary Neoplasm"	518
"533"	4285	"Pituitary Tumors"	518
"534"	4286	"Tumor, Pituitary"	518
"535"	4287	"Tumors, Pituitary"	518
"536"	4288	"Pituitary Adenoma"	518
"537"	4289	"Adenoma, Pituitary"	518
"538"	4290	"Adenomas, Pituitary"	518
"539"	4291	"Pituitary Adenomas"	518
"540"	4292	"Pituitary Carcinoma"	518
"541"	4293	"Carcinoma, Pituitary"	518
"542"	4294	"Carcinomas, Pituitary"	518
"543"	4295	"Pituitary Carcinomas"	518
"544"	4296	"Cancer of the Pituitary"	518
"545"	4297	"Pituitary Cancer"	518
"546"	4298	"Cancer, Pituitary"	518
"547"	4299	"Cancers, Pituitary"	518
"548"	4300	"Cancer of Pituitary"	518
"549"	4301	"Pituitary Cancers"	518
"550"	4302	"Thyroid Neoplasms"	519
"551"	4303	"Neoplasm, Thyroid"	519
"552"	4304	"Thyroid Neoplasm"	519
"553"	4305	"Neoplasms, Thyroid"	519
"554"	4306	"Thyroid Carcinoma"	519
"555"	4307	"Carcinoma, Thyroid"	519
"556"	4308	"Carcinomas, Thyroid"	519
"557"	4309	"Thyroid Carcinomas"	519
"558"	4310	"Cancer of Thyroid"	519
"559"	4311	"Thyroid Cancers"	519
"560"	4312	"Cancer, Thyroid"	519
"561"	4313	"Cancers, Thyroid"	519
"562"	4314	"Cancer of the Thyroid"	519
"563"	4315	"Thyroid Adenoma"	519
"564"	4316	"Adenoma, Thyroid"	519
"565"	4317	"thyroid tumor"	519
"566"	4318	"Thyroid Adenomas"	519
"567"	4319	"Eye Neoplasm"	520
"568"	4320	"Neoplasm, Eye"	520
"569"	4321	"Neoplasms, Eye"	520
"570"	4322	"Cancer of Eye"	520
"571"	4323	"Eye Cancers"	520
"572"	4324	"Cancer of the Eye"	520
"573"	4325	"Eye Cancer"	520
"574"	4326	"Cancer, Eye"	520
"575"	4327	"Cancers, Eye"	520
"576"	4328	"Melanomas"	521
"577"	4329	"Malignant Melanoma"	521
"578"	4330	"B 16"	521
"579"	4331	"B-16"	521
"580"	4332	"melanoma tumor"	521
"581"	4333	"Retinoblastomas"	522
"582"	4334	"Neuroblastoma, Retinal"	522
"583"	4335	"Neuroblastomas, Retinal"	522
"584"	4336	"Retinal Neuroblastoma"	522
"585"	4337	"Retinal Neuroblastomas"	522
"586"	4338	"Glioma, Retinal"	522
"587"	4339	"Gliomas, Retinal"	522
"588"	4340	"Retinal Glioma"	522
"589"	4341	"Retinal Gliomas"	522
"590"	4342	"Eye Cancer, Retinoblastoma"	522
"591"	4343	"Glioblastoma, Retinal"	522
"592"	4344	"Glioblastomas, Retinal"	522
