"idequivalence_relationship"	"equivalence_term"	"term_descritor_idterm_descritor"
"200"	204	"ATP binding cassette subfamily A member 4"	35
"201"	205	"STGD1"	35
"202"	206	"ABCR"	35
"203"	207	"RP19"	35
"204"	208	"STGD"	35
"205"	209	"FFM"	35
"206"	210	"ARMD2"	35
"207"	211	"CORD3"	35
"208"	212	"Stargardt disease"	35
"209"	213	"ABC10"	35
"210"	214	"RMP"	35
"211"	215	"ABCA5"	36
"212"	216	"ATP binding cassette subfamily A member 5"	36
"213"	217	"EST90625"	36
"214"	218	"ABC13"	36
"215"	219	"ABCA6"	37
"216"	220	"ATP binding cassette subfamily A member 6"	37
"217"	221	"EST155051"	37
"218"	222	"ABCA7"	38
"219"	223	"ATP binding cassette subfamily A member 7"	38
"220"	224	"ABCX"	38
"221"	225	"ABCA-SSN"	38
"222"	226	"AD9"	38
"223"	227	"ABCA8"	39
"224"	228	"ATP binding cassette subfamily A member 8"	39
"225"	229	"KIAA0822"	39
"226"	230	"ABCA9"	40
"227"	231	"ATP binding cassette subfamily A member 9"	40
"228"	232	"EST640918"	40
"229"	233	"ABCA10"	41
"230"	234	"ATP binding cassette subfamily A member 10"	41
"231"	235	"EST698739"	41
"232"	236	"ABCA12"	42
"233"	237	"ATP binding cassette subfamily A member 12"	42
"234"	238	"ICR2B"	42
"235"	239	"DKFZP434G232"	42
"236"	240	"LI2"	42
"237"	241	"ARCI4A"	42
"238"	242	"ARCI4B"	42
"239"	243	"ABCA13"	43
"240"	244	"ATP binding cassette subfamily A member 13"	43
"241"	245	"FLJ33876"	43
"242"	246	"FLJ33951"	43
"243"	247	"ABCB1"	44
"244"	248	"ATP binding cassette subfamily B member 1"	44
"245"	249	"PGY1"	44
"246"	250	"MDR1"	44
"247"	251	"CLCS"	44
"248"	252	"p-glycoprotein"	44
"249"	253	"CD243"	44
"250"	254	"GP170"	44
"251"	255	"ABC20"	44
"252"	256	"multidrug resistance protein 1"	44
"253"	257	"P-GP"	44
"254"	258	"ABCB4"	45
"255"	259	"ATP binding cassette subfamily B member 4"	45
"256"	260	"PGY3"	45
"257"	261	"MDR3"	45
"258"	262	"MDR2"	45
"259"	263	"PFIC-3"	45
"260"	264	"GBD1"	45
"261"	265	"ABC21"	45
"262"	266	"ICP3"	45
"263"	267	"MDR2/3"	45
"264"	268	"ABCB5"	46
"265"	269	"ATP binding cassette subfamily B member 5"	46
"266"	270	"EST422562"	46
"267"	271	"ABCB5beta"	46
"268"	272	"ABCB5alpha"	46
"269"	273	"P-glycoprotein ABCB5"	46
"270"	274	"ATP-binding cassette protein"	46
"271"	275	"ABCB6"	47
"272"	276	"ATP binding cassette subfamily B member 6 (Langereis blood group)"	47
"273"	277	"EST45597"	47
"274"	278	"umat"	47
"275"	279	"MTABC3"	47
"276"	280	"ATP-binding cassette half-transporter"	47
"277"	281	"ABC"	47
"278"	284	"ABCB7"	48
"279"	285	"ATP binding cassette subfamily B member 7"	48
"280"	286	"ABC7"	48
"281"	287	"EST140535"	48
"282"	288	"Atm1p"	48
"283"	289	"ASAT"	48
"284"	290	"ABCB8"	49
"285"	291	"ATP binding cassette subfamily B member 8"	49
"286"	292	"EST328128"	49
"287"	293	"M-ABC1"	49
"288"	294	"MABC1"	49
"289"	295	"mitochondrial ABC protein"	49
"290"	296	"ABCB9"	50
"291"	297	"ATP binding cassette subfamily B member 9"	50
"292"	298	"EST122234"	50
"293"	299	"TAPL"	50
"294"	300	"ABCB10"	51
"295"	301	"ATP binding cassette subfamily B member 10"	51
"296"	302	"EST20237"	51
"297"	303	"M-ABC2"	51
"298"	304	"MTABC2"	51
"299"	305	"ATP-binding cassette sub-family B member 10, mitochondrial"	51
"300"	306	"ATP-binding cassette transporter 10"	51
"301"	307	"ABC transporter 10 protein"	51
"302"	308	"mitochondrial ATP-binding cassette 2"	51
"303"	309	"ABCB11"	52
"304"	310	"ATP binding cassette subfamily B member 11"	52
"305"	311	"BSEP"	52
"306"	312	"PFIC2"	52
"307"	313	"ABC16"	52
"308"	314	"SPGP"	52
"309"	315	"PFIC-2"	52
"310"	316	"PGY4"	52
"311"	317	"ABC member 16, MDR/TAP subfamily"	52
"312"	318	"BRIC2"	52
"313"	319	"ABCC1"	53
"314"	320	"ATP binding cassette subfamily C member 1"	53
"315"	321	"MRP"	53
"316"	322	"MRP1"	53
"317"	323	"GS-X"	53
"318"	324	"ABC29"	53
"319"	325	"ABCC"	53
"320"	326	"ABCC2"	54
"321"	327	"ATP binding cassette subfamily C member 2"	54
"322"	328	"CMOAT"	54
"323"	329	"DJS"	54
"324"	330	"MRP2"	54
"325"	331	"cMRP"	54
"326"	332	"ABC30"	54
"327"	333	"ABCC3"	55
"328"	334	"ATP binding cassette subfamily C member 3"	55
"329"	335	"MRP3"	55
"330"	336	"cMOAT2"	55
"331"	337	"EST90757"	55
"332"	338	"MLP2"	55
"333"	339	"MOAT-D"	55
"334"	340	"canalicular multispecific organic anion transporter 2"	55
"335"	341	"ABC31"	55
"336"	342	"ABCC4"	56
"337"	343	"ATP binding cassette subfamily C member 4"	56
"338"	344	"MRP4"	56
"339"	345	"EST170205"	56
"340"	346	"MOAT-B"	56
"341"	347	"MOATB"	56
"342"	348	"canalicular multispecific organic anion transporter (ABC superfamily)"	56
"343"	349	"tnfalpha"	17028
"344"	350	"multidrug resistance-associated protein 4"	56
"345"	351	"multispecific organic anion transporter B"	56
"346"	352	"ABCC5"	57
"347"	353	"ATP binding cassette subfamily C member 5"	57
"348"	354	"MRP5"	57
"349"	355	"SMRP"	57
"350"	356	"EST277145"	57
"351"	357	"MOAT-C"	57
"352"	358	"ABC33"	57
"353"	359	"MOATC"	57
"354"	360	"pABC11"	57
"355"	361	"ABCC6"	58
"356"	362	"ATP binding cassette subfamily C member 6"	58
"357"	363	"ARA"	58
"358"	364	"PXE"	58
"359"	365	"MRP6"	58
"360"	366	"EST349056"	58
"361"	367	"MLP1"	58
"362"	368	"URG7"	58
"363"	369	"ABC34"	58
"364"	370	"GACI2"	58
"365"	371	"MOAT-E"	58
"366"	372	"MOATE"	58
"367"	373	"PXE1"	58
"368"	374	"ABCC8"	59
"369"	375	"ATP binding cassette subfamily C member 8"	59
"370"	376	"SUR"	59
"371"	377	"HRINS"	59
"372"	378	"HI"	59
"373"	379	"PHHI"	59
"374"	380	"SUR1"	59
"375"	381	"MRP8"	59
"376"	382	"ABC36"	59
"377"	383	"HHF1"	59
"378"	384	"TNDM2"	59
"379"	385	"sulfonylurea receptor (hyperinsulinemia)"	59
"380"	386	"SUR1delta2"	59
"381"	387	"ABCC9"	60
"382"	388	"ATP binding cassette subfamily C member 9"	60
"383"	389	"SUR2"	60
"384"	390	"CMD1O"	60
"385"	391	"sulfonylurea receptor 2"	60
"386"	392	"ABC37"	60
"387"	393	"ATFB12"	60
"388"	394	"CANTU"	60
"389"	395	"ABCC10"	61
"390"	396	"ATP binding cassette subfamily C member 10"	61
"391"	397	"EST182763"	61
"392"	398	"MRP7"	61
"393"	399	"SIMRP7"	61
"394"	400	"ABCC11"	62
"395"	401	"ATP binding cassette subfamily C member 11"	62
"396"	402	"MRP8"	62
"397"	403	"EWWD"	62
"398"	404	"WW"	62
"399"	405	"ABCC12"	63
"400"	406	"ATP binding cassette subfamily C member 12"	63
"401"	407	"MRP9"	63
"402"	408	"ABCD1"	64
"403"	409	"ATP binding cassette subfamily D member 1"	64
"404"	410	"ALD"	64
"405"	411	"AMN"	64
"406"	412	"ALDP"	64
"407"	413	"adrenoleukodystrophy"	64
"408"	414	"ABC42"	64
"409"	415	"ABCD2"	65
"410"	416	"ATP binding cassette subfamily D member 2"	65
"411"	417	"ALDL1"	65
"412"	418	"ALDR"	65
"413"	419	"ALDRP"	65
"414"	420	"ABC39"	65
"415"	421	"hALDR"	65
"416"	422	"ABCD3"	66
"417"	423	"ATP binding cassette subfamily D member 3"	66
"418"	424	"PXMP1"	66
"419"	425	"PMP70"	66
"420"	426	"ZWS2"	66
"421"	427	"ABC43"	66
"422"	428	"CBAS5"	66
"423"	429	"ABCD4"	67
"424"	430	"ATP binding cassette subfamily D member 4"	67
"425"	431	"PXMP1L"	67
"426"	432	"PMP69"	67
"427"	433	"P70R"	67
"428"	434	"EST352188"	67
"429"	435	"ABC41"	67
"430"	436	"MAHCJ"	67
"431"	437	"P79R"	67
"432"	438	"ABCE1"	68
"433"	439	"ATP binding cassette subfamily E member 1"	68
"434"	440	"RNASEL1"	68
"435"	441	"RNASELI"	68
"436"	442	"RNS4I"	68
"437"	443	"RLI"	68
"438"	444	"OABP"	68
"439"	445	"RLI1"	68
"440"	446	"RNase L inhibitor 1"	68
"441"	447	"ABC38"	68
"442"	448	"ABCF1"	69
"443"	449	"ATP binding cassette subfamily F member 1"	69
"444"	450	"ABC50"	69
"445"	451	"EST123147"	69
"446"	452	"ABC27"	69
"447"	453	"ABCF2"	70
"448"	454	"ATP binding cassette subfamily F member 2"	70
"449"	455	"EST133090"	70
"450"	456	"ABC28"	70
"451"	457	"M-ABC1"	70
"452"	458	"HUSSY-18"	70
"453"	459	"HUSSY18"	70
"454"	460	"ABCF3"	71
"455"	461	"ATP binding cassette subfamily F member 3"	71
"456"	462	"EST201864"	71
"457"	463	"ABCG1"	72
"458"	464	"ATP binding cassette subfamily G member 1"	72
"459"	465	"ABC8"	72
"460"	466	"ATP-binding cassette transporter 8"	72
"461"	467	"WHITE1"	72
"462"	468	"ABCG2"	73
"463"	469	"ATP binding cassette subfamily G member 2 (Junior blood group)"	73
"464"	470	"EST157481"	73
"465"	471	"MXR"	73
"466"	472	"BCRP"	73
"467"	473	"ABCP"	73
"468"	474	"CD338"	73
"469"	475	"ABC15"	73
"470"	476	"BCRP1"	73
"471"	477	"BMDP"	73
"472"	478	"CDw338"	73
"473"	479	"GOUT1"	73
"474"	480	"MRX"	73
"475"	481	"MXR-1"	73
"476"	482	"MXR1"	73
"477"	483	"UAQTL1"	73
"478"	484	"ABCG4"	74
"479"	485	"ATP binding cassette subfamily G member 4"	74
"480"	486	"WHITE2"	74
"481"	487	"putative ABC transporter"	74
"482"	488	"ATP-binding cassette, subfamily G, member 4"	74
"483"	489	"ABCG5"	75
"484"	490	"ATP binding cassette subfamily G member 5"	75
"485"	491	"STSL"	75
"486"	492	"sterolin 1"	75
"487"	493	"ABCG8"	76
"488"	494	"ATP binding cassette subfamily G member 8"	76
"489"	495	"GBD4"	76
"490"	496	"gallbladder disease 4"	76
"491"	497	"sterolin 2"	76
"492"	498	"STSL"	76
"493"	499	"ABHD1"	77
"494"	500	"abhydrolase domain containing 1"	77
"495"	501	"LABH1"	77
"496"	502	"FLJ36128"	77
"497"	503	"ABHD2"	78
"498"	504	"abhydrolase domain containing 2"	78
"499"	505	"LABH2"	78
"500"	506	"HS1-2"	78
"501"	507	"PHPS1-2"	78
"502"	508	"ABHD3"	79
"503"	509	"abhydrolase domain containing 3"	79
"504"	510	"LABH3"	79
"505"	511	"ABHD4"	80
"506"	512	"abhydrolase domain containing 4"	80
"507"	513	"FLJ12816"	80
"508"	514	"ABH4"	80
"509"	515	"ABHD5"	81
"510"	516	"abhydrolase domain containing 5"	81
"511"	517	"CGI-58"	81
"512"	518	"NCIE2"	81
"513"	519	"CDS"	81
"514"	520	"CGI58"	81
"515"	521	"IECN2"	81
"516"	522	"ABHD6"	82
"517"	523	"abhydrolase domain containing 6"	82
"518"	524	"ABHD8"	83
"519"	525	"abhydrolase domain containing 8"	83
"520"	526	"FLJ11743"	83
"521"	527	"MGC14280"	83
"522"	528	"MGC2512"	83
"523"	529	"ABHD10"	84
"524"	530	"abhydrolase domain containing 10"	84
"525"	531	"FLJ11342"	84
"526"	532	"ABHD11"	85
"527"	533	"abhydrolase domain containing 11"	85
"528"	534	"WBSCR21"	85
"529"	535	"PP1226"	85
"530"	536	"ABHD12"	86
"531"	537	"abhydrolase domain containing 12"	86
"532"	538	"C20orf22"	86
"533"	539	"DKFZP434P106"	86
"534"	540	"dJ965G21.2"	86
"535"	541	"BEM46L2"	86
"536"	542	"ABHD12A"	86
"537"	543	"PHARC"	86
"538"	544	"ABHD12B"	87
"539"	545	"abhydrolase domain containing 12B"	87
"540"	546	"C14orf29"	87
"541"	547	"BEM46L3"	87
"542"	548	"c14_5314"	87
"543"	549	"ABHD13"	88
"544"	550	"abhydrolase domain containing 13"	88
"545"	551	"C13orf6"	88
"546"	552	"bA153I24.2"	88
"547"	553	"FLJ14906"	88
"548"	554	"BEM46L1"	88
"549"	555	"ABHD14A"	89
"550"	556	"abhydrolase domain containing 14A"	89
"551"	557	"DKFZP564O243"	89
"552"	558	"DORZ1"	89
"553"	559	"ABHD14B"	90
"554"	560	"abhydrolase domain containing 14B"	90
"555"	561	"MGC15429"	90
"556"	562	"CIB"	90
"557"	563	"HEL-S-299"	90
"558"	564	"ABHD15"	91
"559"	565	"abhydrolase domain containing 15"	91
"560"	566	"ABHD16A"	92
"561"	567	"abhydrolase domain containing 16A"	92
"562"	568	"BAT5"	92
"563"	569	"NG26"	92
"564"	570	"D6S82E"	92
"565"	571	"PP199"	92
"566"	572	"ABHD16B"	93
"567"	573	"abhydrolase domain containing 16B"	93
"568"	574	"C20orf135"	93
"569"	575	"dJ591C20.1"	93
"570"	576	"ABHD17A"	94
"571"	577	"abhydrolase domain containing 17A"	94
"572"	578	"C19orf27"	94
"573"	579	"FAM108A1"	94
"574"	580	"MGC5244"	94
"575"	581	"ABHD17B"	95
"576"	582	"abhydrolase domain containing 17B"	95
"577"	583	"C9orf77"	95
"578"	584	"FAM108B1"	95
"579"	585	"CGI-67"	95
"580"	586	"ABHD17C"	96
"581"	587	"abhydrolase domain containing 17C"	96
"582"	588	"FAM108C1"	96
"583"	589	"ABHD18"	97
"584"	590	"abhydrolase domain containing 18"	97
"585"	591	"C4orf29"	97
"586"	592	"FLJ21106"	97
"587"	593	"ABI1"	98
"588"	594	"abl interactor 1"	98
"589"	595	"SSH3BP1"	98
"590"	596	"E3B1"	98
"591"	597	"ABI-1"	98
"592"	598	"ABLBP4"	98
"593"	599	"NAP1BP"	98
"594"	600	"SSH3BP"	98
"595"	601	"ABI2"	99
"596"	602	"abl interactor 2"	99
"597"	603	"ABI-2"	99
"598"	604	"AIP-1"	99
"599"	605	"ABI2B"	99
"600"	606	"AblBP3"	99
"601"	607	"argBPIA"	99
"602"	608	"SSH3BP2"	99
"603"	609	"argBP1"	99
"604"	610	"argBPIB"	99
"605"	611	"ABI3"	100
"606"	612	"ABI family member 3"	100
"607"	613	"NESH"	100
"608"	614	"SSH3BP3"	100
"609"	615	"ABI3BP"	101
"610"	616	"ABI family member 3 binding protein"	101
"611"	617	"NESHBP"	101
"612"	618	"DKFZP586L2024"	101
"613"	619	"TARSH"	101
"614"	620	"target of Nesh-SH3"	101
"615"	621	"ABL1"	102
"616"	622	"ABL proto-oncogene 1, non-receptor tyrosine kinase"	102
"617"	624	"JTK7"	102
"618"	625	"c-ABL"	102
"619"	626	"p150"	102
"620"	627	"CHDSKM"	102
"621"	628	"bcr/abl"	102
"622"	629	"c-ABL1"	102
"623"	630	"v-abl"	102
"624"	631	"ABL2"	103
"625"	632	"ABL proto-oncogene 2, non-receptor tyrosine kinase"	103
"626"	633	"ABLL"	103
"627"	635	"Abelson-related gene"	103
"628"	636	"ABLIM1"	104
"629"	637	"actin binding LIM protein 1"	104
"630"	638	"LIMAB1"	104
"631"	639	"ABLIM"	104
"632"	640	"abLIM"	104
"633"	641	"limatin"	104
"634"	642	"LIMATIN"	104
"635"	643	"abLIM-1"	104
"636"	644	"ABLIM2"	105
"637"	645	"actin binding LIM protein family member 2"	105
"638"	646	"KIAA1808"	105
"639"	647	"ABLIM3"	106
"640"	648	"actin binding LIM protein family member 3"	106
"641"	649	"KIAA0843"	106
"642"	650	"HMFN1661"	106
"643"	651	"ABO"	107
"644"	652	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"	107
"645"	653	"A3GALNT"	107
"646"	654	"A3GALT1"	107
"647"	655	"GTB"	107
"648"	656	"NAGAT"	107
"649"	657	"ABR"	108
"650"	658	"ABR, RhoGEF and GTPase activating protein"	108
"651"	659	"MDB"	108
"652"	660	"ABRA"	109
"653"	661	"actin binding Rho activating protein"	109
"654"	662	"STARS"	109
"655"	663	"striated muscle activator of Rho-dependent signaling"	109
"656"	664	"ABRACL"	110
"657"	665	"ABRA C-terminal like"	110
"658"	666	"C6orf115"	110
"659"	667	"PRO2013"	110
"660"	668	"HSPC280"	110
"661"	669	"Costars"	110
"662"	670	"ABRAXAS1"	111
"663"	671	"abraxas 1, BRCA1 A complex subunit"	111
"664"	672	"CCDC98"	111
"665"	673	"FAM175A"	111
"666"	674	"FLJ13614"	111
"667"	675	"ABRA1"	111
"668"	676	"ABRAXAS"	111
"669"	677	"Abraxas protein"	111
"670"	678	"ABRAXAS2"	112
"671"	679	"abraxas 2, BRISC complex subunit"	112
"672"	680	"KIAA0157"	112
"673"	681	"FAM175B"	112
"674"	682	"Em:AC068896.4"	112
"675"	683	"ABRO1"	112
"676"	684	"Abraxas brother"	112
"677"	685	"ABT1"	113
"678"	686	"activator of basal transcription 1"	113
"679"	687	"Esf2"	113
"680"	688	"hABT1"	113
"681"	689	"ABTB1"	114
"682"	690	"ankyrin repeat and BTB domain containing 1"	114
"683"	691	"BPOZ"	114
"684"	692	"EF1ABP"	114
"685"	693	"Btb3"	114
"686"	694	"BTBD21"	114
"687"	695	"BTB3"	114
"688"	696	"PP2259"	114
"689"	697	"ABTB2"	115
"690"	698	"ankyrin repeat and BTB domain containing 2"	115
"691"	699	"DKFZP586C1619"	115
"692"	700	"BTBD22"	115
"693"	701	"ABTB2A"	115
"694"	702	"ACAA1"	116
"695"	703	"acetyl-CoA acyltransferase 1"	116
"696"	704	"peroxisomal 3-oxoacyl-Coenzyme A thiolase"	116
"697"	705	"ACAA"	116
"698"	706	"PTHIO"	116
"699"	707	"THIO"	116
"700"	708	"ACAA2"	117
"701"	709	"acetyl-CoA acyltransferase 2"	117
"702"	710	"DSAEC"	117
"703"	711	"mitochondrial 3-oxoacyl-Coenzyme A thiolase"	117
"704"	712	"ACACA"	118
"705"	713	"acetyl-CoA carboxylase alpha"	118
"706"	714	"ACAC"	118
"707"	715	"ACC"	118
"708"	716	"ACC1"	118
"709"	717	"acetyl-CoA carboxylase 1"	118
"710"	718	"ACACAD"	118
"711"	719	"ACCA"	118
"712"	720	"ACACB"	119
"713"	721	"acetyl-CoA carboxylase beta"	119
"714"	722	"HACC275"	119
"715"	723	"ACC2"	119
"716"	724	"ACCB"	119
"717"	725	"acetyl-CoA carboxylase 2"	119
"718"	726	"ACAD8"	120
"719"	727	"acyl-CoA dehydrogenase family member 8"	120
"720"	728	"ACAD-8"	120
"721"	729	"ARC42"	120
"722"	730	"ACAD9"	121
"723"	731	"acyl-CoA dehydrogenase family member 9"	121
"724"	732	"NPD002"	121
"725"	733	"MGC14452"	121
"726"	734	"ACAD10"	122
"727"	735	"acyl-CoA dehydrogenase family member 10"	122
"728"	736	"MGC5601"	122
"729"	737	"ACAD11"	123
"730"	738	"acyl-CoA dehydrogenase family member 11"	123
"731"	739	"FLJ12592"	123
"732"	740	"ACAD-11"	123
"733"	741	"ACADL"	124
"734"	742	"acyl-CoA dehydrogenase long chain"	124
"735"	743	"LCAD"	124
"736"	744	"ACAD4"	124
"737"	745	"ACADM"	125
"738"	746	"acyl-CoA dehydrogenase medium chain"	125
"739"	747	"MCAD"	125
"740"	748	"MCADH"	125
"741"	749	"ACAD1"	125
"742"	750	"medium-chain acyl-CoA dehydrogenase"	125
"743"	751	"ACADS"	126
"744"	752	"acyl-CoA dehydrogenase short chain"	126
"745"	753	"SCAD"	126
"746"	754	"ACAD3"	126
"747"	755	"ACADSB"	127
"748"	756	"acyl-CoA dehydrogenase short/branched chain"	127
"749"	757	"SBCAD"	127
"750"	758	"ACAD7"	127
"751"	759	"2-MEBCAD"	127
"752"	760	"ACADVL"	128
"753"	761	"acyl-CoA dehydrogenase very long chain"	128
"754"	762	"VLCAD"	128
"755"	763	"LCACD"	128
"756"	764	"ACAD6"	128
"757"	765	"ACAN"	129
"758"	766	"aggrecan"	129
"759"	767	"MSK16"	129
"760"	768	"CSPG1"	129
"761"	769	"AGC1"	129
"762"	770	"CSPGCP"	129
