"Name"	"DrugBankID"	"PubChemCompoundID"	"WikipediaID"	"DrugscomLink"	"ChemSpiderID"	"MeshID"	"idterm_descritor"	"term_type_idterm_type"	"term_type_mesh"	"tree"
"69"	"Phenyl Ethers"	""	"7583"	NA	NA	NA	"D010647"	72	7	3	"D02.355.726,D02.455.426.559.389.657.654"
"70"	"Anisoles"	""	"7519"	NA	NA	NA	"D000840"	73	7	3	"D02.355.601.200,D02.355.726.158,D02.455.426.559.389.657.654.158"
"71"	"Anethole Trithione"	"DB13853"	""	NA	NA	NA	"D000781"	74	7	3	"D02.355.601.200.100,D02.355.726.158.100,D02.455.426.559.389.657.654.158.100,D02.886.753.077"
"72"	"Butylated Hydroxyanisole"	""	"8456"	NA	NA	NA	"D002083"	75	7	3	"D02.355.601.200.324,D02.355.726.158.324,D02.455.426.559.389.657.654.158.324"
"73"	"Fibric Acids"	""	"70343"	NA	NA	NA	"D058607"	76	7	3	"D02.241.081.114.968.500,D02.355.726.305,D02.455.426.559.389.657.654.305"
"74"	"Bezafibrate"	"DB01393"	""	NA	NA	NA	"D001629"	77	7	3	"D02.065.277.067,D02.241.081.114.968.500.249,D02.241.223.100.100.120,D02.241.223.100.200.249,D02.355.726.305.249,D02.455.426.559.389.127.085.101,D02.455.426.559.389.127.250.249,D02.455.426.559.389.657.654.305.249"
"75"	"Clofenapate"	""	"30602"	NA	NA	NA	"D002992"	78	7	3	"D02.241.081.114.968.500.374,D02.355.726.305.374,D02.455.426.559.389.185.210,D02.455.426.559.389.657.654.305.374"
"76"	"Clofibric Acid"	""	"2797"	NA	NA	NA	"D002995"	79	7	3	"D02.241.081.114.968.500.500,D02.355.726.305.500,D02.455.426.559.389.657.654.305.500"
"77"	"Clofibrate"	"DB00636"	""	NA	NA	NA	"D002994"	80	7	3	"D02.241.081.114.968.500.500.195,D02.355.726.305.500.195,D02.455.426.559.389.657.654.305.500.195"
"78"	"Fenofibrate"	"DB01039"	""	NA	NA	NA	"D011345"	81	7	3	"D02.241.081.114.968.500.625,D02.355.726.305.625,D02.455.426.559.389.134.750,D02.455.426.559.389.657.654.305.625,D02.522.223.750"
"79"	"Gemfibrozil"	"DB01241"	""	NA	NA	NA	"D015248"	82	7	3	"D02.241.081.114.968.500.750,D02.241.081.944.509.350,D02.355.726.305.750,D02.455.426.559.389.657.654.305.750,D10.251.400.895.593.350"
"80"	"Methocarbamol"	"DB00423"	""	NA	NA	NA	"D008721"	83	7	3	"D02.241.081.251.583.577,D02.355.601.536.400.500,D02.355.726.453.400.500,D02.455.426.559.389.657.654.453.400.500"
"81"	"Halogenated Diphenyl Ethers"	""	""	NA	NA	NA	"D055768"	84	7	3	"D02.355.726.601,D02.455.426.559.389.657.654.601"
"82"	"Hydroxybenzoate Ethers"	""	""	NA	NA	NA	"D062425"	85	7	3	"D02.241.223.100.300.350,D02.241.511.390.350,D02.355.726.675,D02.455.426.559.389.127.281.350,D02.455.426.559.389.657.654.638"
"83"	"Hexobendine"	""	"5776"	NA	NA	NA	"D006592"	86	7	3	"D02.241.223.100.300.350.500,D02.241.511.390.350.500,D02.455.426.559.389.127.281.350.500,D02.455.426.559.389.657.654.638.500"
"84"	"Metoclopramide"	"DB01233"	""	NA	NA	NA	"D008787"	87	7	3	"D02.065.277.573,D02.241.223.100.050.500.647,D02.241.223.100.100.510,D02.241.223.100.200.750,D02.241.223.100.300.350.625,D02.241.511.390.350.625,D02.455.426.559.389.127.020.937.647,D02.455.426.559.389.127.085.510,D02.455.426.559.389.127.250.750,D02.455.426.559.389.127.281.350.625,D02.455.426.559.389.657.654.638.625"
"85"	"Trimebutine"	"DB09089"	""	NA	NA	NA	"D014287"	88	7	3	"D02.241.223.100.300.350.750,D02.241.511.390.350.750,D02.455.426.559.389.127.281.350.750,D02.455.426.559.389.657.654.638.750"
"86"	"Vanillic Acid"	"DB02130"	""	NA	NA	NA	"D014641"	89	7	3	"D02.241.223.100.300.350.875,D02.241.511.390.350.875,D02.455.426.559.389.127.281.350.875,D02.455.426.559.389.657.654.638.875"
"87"	"Mexiletine"	"DB00379"	""	NA	NA	NA	"D008801"	90	7	3	"D02.092.831.500,D02.455.426.559.389.657.654.675"
"88"	"Phenetidine"	""	"7203"	NA	NA	NA	"D010628"	91	7	3	"D02.092.146.100.700,D02.355.417.650,D02.355.726.750,D02.455.426.559.389.657.654.750"
"89"	"Triclosan"	"DB08604"	""	NA	NA	NA	"D014260"	92	7	3	"D02.355.726.900,D02.455.426.559.389.657.654.900"
"90"	"Phloroglucinol"	"DB12944"	""	NA	NA	NA	"D010696"	93	7	3	"D02.455.426.559.389.657.684"
"91"	"Phloretin"	"DB07810"	""	NA	NA	NA	"D010693"	94	7	3	"D02.455.426.559.389.657.684.602,D02.522.818.561.602,D03.383.663.283.266.450.550"
"92"	"Polyphloretin Phosphate"	""	"24770"	NA	NA	NA	"D011121"	95	7	3	"D02.455.426.559.389.657.684.602.615,D02.522.818.561.602.615,D03.383.663.283.266.450.550.615,D05.750.795,D25.720.795,J01.637.051.720.795"
"93"	"Polyphenols"	""	""	NA	NA	NA	"D059808"	96	7	3	"D02.455.426.559.389.657.715,D03.633.100.150.266.450.260.777"
"94"	"Probucol"	"DB01599"	""	NA	NA	NA	"D011341"	97	7	3	"D02.455.426.559.389.657.746"
"95"	"Propofol"	"DB00818"	""	NA	NA	NA	"D015742"	98	7	3	"C25.100.844,D02.455.426.559.389.657.773"
"96"	"Pyrogallol"	""	"1057"	NA	NA	NA	"D011748"	99	7	3	"D02.455.426.559.389.657.800"
"97"	"Resorcinols"	"DB11085"	""	NA	NA	NA	"D012118"	100	7	3	"D02.455.426.559.389.657.852"
"98"	"Hexylresorcinol"	"DB11254"	""	NA	NA	NA	"D006604"	101	7	3	"D02.455.426.559.389.657.852.467"
"99"	"Zearalenone"	""	"5281576"	NA	NA	NA	"D015025"	102	7	3	"D02.455.426.559.389.657.852.900,D02.540.950,D23.946.587.989"
"100"	"Zeranol"	""	"2999413"	NA	NA	NA	"D015029"	103	7	3	"D02.455.426.559.389.657.852.900.975,D02.540.950.975"
"101"	"Flavonoids"	""	""	NA	NA	NA	"D005419"	104	7	3	"D03.383.663.283.266.450,D03.633.100.150.266.450"
"102"	"Anthocyanins"	""	"145858"	NA	NA	NA	"D000872"	105	7	3	"D03.383.663.283.266.450.087,D03.633.100.150.266.450.087,D09.408.084,D23.767.124"
"103"	"Benzoflavones"	""	""	NA	NA	NA	"D001571"	106	7	3	"D03.383.663.283.266.450.175,D03.633.100.150.266.450.175"
"104"	"beta-Naphthoflavone"	"DB06732"	""	NA	NA	NA	"D019324"	107	7	3	"D03.383.663.283.266.450.175.100,D03.633.100.150.266.450.175.100"
"105"	"Biflavonoids"	""	""	NA	NA	NA	"D044946"	108	7	3	"D03.383.663.283.266.450.190,D03.633.100.150.266.450.190"
"106"	"Catechin"	"DB12039"	""	NA	NA	NA	"D002392"	109	7	3	"D03.383.663.283.240.190,D03.383.663.283.266.450.206,D03.633.100.150.240.190,D03.633.100.150.266.450.206"
"107"	"Chalcones"	""	"637760"	NA	NA	NA	"D047188"	110	7	3	"D02.522.818.222,D03.383.663.283.266.450.221,D03.633.100.150.266.450.221"
"108"	"Flavanones"	""	"10251"	NA	NA	NA	"D044950"	111	7	3	"D03.383.663.283.266.450.252,D03.633.100.150.266.450.252"
"109"	"Hesperidin"	"DB04703"	""	NA	NA	NA	"D006569"	112	7	3	"D03.383.663.283.266.450.252.500,D03.633.100.150.266.450.252.500"
"110"	"Flavones"	"DB07776"	""	NA	NA	NA	"D047309"	113	7	3	"D03.383.663.283.266.450.260,D03.633.100.150.266.450.260"
"111"	"Apigenin"	"DB07352"	""	NA	NA	NA	"D047310"	114	7	3	"D03.383.663.283.266.450.260.110,D03.633.100.150.266.450.260.110"
"112"	"Diosmin"	"DB08995"	""	NA	NA	NA	"D004145"	115	7	3	"D03.383.663.283.266.450.260.222,D03.633.100.150.266.450.260.222"
"113"	"Flavoxate"	"DB01148"	""	NA	NA	NA	"D005422"	116	7	3	"D03.383.663.283.266.450.260.444,D03.633.100.150.266.450.260.444"
"114"	"Luteolin"	""	"5280445"	NA	NA	NA	"D047311"	117	7	3	"D03.383.663.283.266.450.260.555,D03.633.100.150.266.450.260.555"
"115"	"Flavonolignans"	""	""	NA	NA	NA	"D044947"	118	7	3	"D02.455.426.559.389.140.450.388,D03.383.663.283.266.450.268,D03.633.100.150.266.450.268"
"116"	"Silymarin"	""	"595317"	NA	NA	NA	"D012838"	119	7	3	"D03.383.663.283.266.450.268.777,D03.633.100.150.266.450.268.777"
"117"	"Flavonols"	""	""	NA	NA	NA	"D044948"	120	7	3	"D03.383.663.283.266.450.284,D03.633.100.150.266.450.284"
"118"	"Kaempferols"	"DB01852"	""	NA	NA	NA	"D044949"	121	7	3	"D03.383.663.283.266.450.284.388,D03.633.100.150.266.450.284.388"
"119"	"Quercetin"	"DB04216"	""	NA	NA	NA	"D011794"	122	7	3	"D03.383.663.283.266.450.284.777,D03.633.100.150.266.450.284.777"
"120"	"Rutin"	"DB01698"	""	NA	NA	NA	"D012431"	123	7	3	"D03.383.663.283.266.450.284.888,D03.633.100.150.266.450.284.888"
"121"	"Hydroxyethylrutoside"	""	""	NA	NA	NA	"D006896"	124	7	3	"D03.383.663.283.266.450.284.888.500,D03.633.100.150.266.450.284.888.500"
"122"	"Isoflavones"	"DB12007"	""	NA	NA	NA	"D007529"	125	7	3	"D03.383.663.283.266.450.400,D03.633.100.150.266.450.400"
"123"	"Coumestrol"	""	"5281707"	NA	NA	NA	"D003375"	126	7	3	"D03.383.663.283.266.450.400.187,D03.383.663.283.446.350,D03.633.100.150.266.450.400.187,D03.633.100.150.446.350"
"124"	"Genistein"	"DB01645"	""	NA	NA	NA	"D019833"	127	7	3	"D03.383.663.283.266.450.400.375,D03.633.100.150.266.450.400.375"
"125"	"Pterocarpans"	""	""	NA	NA	NA	"D036343"	128	7	3	"D03.383.663.283.266.450.400.687,D03.633.100.127.637,D03.633.100.150.266.450.400.687,D03.633.400.748"
"126"	"Rotenone"	"DB11457"	""	NA	NA	NA	"D012402"	129	7	3	"D03.383.663.283.266.450.400.843,D03.633.100.150.266.450.400.843,D03.633.400.825"
"127"	"Proanthocyanidins"	""	"21881649"	NA	NA	NA	"D044945"	130	7	3	"D03.383.663.283.266.450.700,D03.633.100.150.266.450.700,D05.750.078.937.429"
"128"	"Equol"	"DB11674"	""	NA	NA	NA	"D060754"	132	7	3	"D03.633.100.150.266.450.400.281"
"129"	"2-bromoacetamide-4-nitrophenol"	""	"4089912"	NA	NA	NA	"C000309"	133	7	4	"Phenols"
"130"	"teasperol"	""	"102199128"	NA	NA	NA	"C000588496"	134	7	4	"Phenols"
"131"	"teasperin"	""	"102199129"	NA	NA	NA	"C000588497"	135	7	4	"Phenols"
"132"	"bis(dicyclohexylammonium)2,4-dichlorophenolate 2,4,6-trichlorophenolate 2,4-dichlorophenol"	""	""	NA	NA	NA	"C000588593"	136	7	4	"Phenols"
"133"	"racemosolone"	""	""	NA	NA	NA	"C000589006"	137	7	4	"Phenols"
"134"	"3-thio-1,2-dihydroxybenzene"	""	""	NA	NA	NA	"C000589399"	138	7	4	"Phenols"
"135"	"m-scrobiculin"	""	""	NA	NA	NA	"C000589917"	139	7	4	"Phenols"
"136"	"4-(2,5-dihydroxyhexyl)benzene-1,2-diol"	""	"129844485"	NA	NA	NA	"C000590724"	140	7	4	"Phenols"
"137"	"(5S,8R)-6,7,8,9-tetrahydro-5-methyl-5,8-epoxy-5H-benzocycloheptene-2,3,4-triol"	""	"102333916"	NA	NA	NA	"C000590725"	141	7	4	"Phenols"
"138"	"1,5-bis(3-hydroxyphenyl)-1,4-pentadiene-3-one"	""	"242135"	NA	NA	NA	"C000590737"	142	7	4	"Phenols"
"139"	"cyclobakuchiol A"	""	"10083762"	NA	NA	NA	"C000590877"	143	7	4	"Phenols"
"140"	"cyclobakuchiol B"	""	"15767841"	NA	NA	NA	"C000590878"	144	7	4	"Phenols"
"141"	"cyclobakuchiol C"	""	"101956380"	NA	NA	NA	"C000590879"	145	7	4	"Phenols"
"142"	"yunnaneic acid C"	""	"10721138"	NA	NA	NA	"C000590893"	146	7	4	"Phenols"
"143"	"yunnaneic acid D"	""	"10530480"	NA	NA	NA	"C000590894"	147	7	4	"Phenols"
"144"	"aeruginaldehyde"	""	""	NA	NA	NA	"C000591504"	148	7	4	"Phenols"
"145"	"liparisglycoside A"	""	""	NA	NA	NA	"C000591574"	149	7	4	"Phenols"
"146"	"liparisglycoside C"	""	""	NA	NA	NA	"C000591575"	150	7	4	"Phenols"
"147"	"liparisglycoside B"	""	""	NA	NA	NA	"C000591577"	151	7	4	"Phenols"
"148"	"1-isopentyl-3,4-dioxomethylene-2-phenol"	""	""	NA	NA	NA	"C000591767"	152	7	4	"Phenols"
"149"	"4-(1-phenylcyclohexyl)phenol"	""	"1538454"	NA	NA	NA	"C000592026"	153	7	4	"Phenols"
"150"	"triticumoside"	""	""	NA	NA	NA	"C000592091"	154	7	4	"Phenols"
"151"	"3-(4-chlorophenyl)-glutaronitrile"	""	""	NA	NA	NA	"C000592872"	155	7	4	"Phenols"
"152"	"potassium aeshynomate"	""	"101036303"	NA	NA	NA	"C000592966"	156	7	4	"Phenols"
"153"	"p-(acetylamino)phenol"	""	""	NA	NA	NA	"C000593094"	157	7	4	"Phenols"
"154"	"dodoneine"	""	"24762836"	NA	NA	NA	"C000593123"	158	7	4	"Phenols"
"155"	"1-(4-benzoyl-1-(3-fluoro-4-hydroxyphenyl)-1H-pyrrol-2-yl)-2,2-difluoroethanone"	""	""	NA	NA	NA	"C000593124"	159	7	4	"Phenols"
"156"	"2-((E)-(benzo(d)(1,3)dioxol-6-ylimino)methyl)-6-ethoxyphenol"	""	""	NA	NA	NA	"C000593164"	160	7	4	"Phenols"
"157"	"(E)-4,6-dibromo-3-methoxy-2-((3-methoxyphenylimino)methyl)phenol"	""	""	NA	NA	NA	"C000593265"	161	7	4	"Phenols"
"158"	"2-(1-piperidinylmethyl)phenol"	""	"738453"	NA	NA	NA	"C000593324"	162	7	4	"Phenols"
"159"	"4-methoxy-2-(1-piperidinylmethyl)phenol"	""	""	NA	NA	NA	"C000593325"	163	7	4	"Phenols"
"160"	"4-methoxy-3-(1-piperidinylmethyl)phenol"	""	""	NA	NA	NA	"C000593326"	164	7	4	"Phenols"
"161"	"r2-viniferin"	""	""	NA	NA	NA	"C000593370"	165	7	4	"Phenols"
"162"	"poly(o-phenylenediamine-co-o-aminophenol)"	""	""	NA	NA	NA	"C000594306"	166	7	4	"Phenols"
"163"	"2-(sophorosyl)-1-(4-hydroxyphenyl)ethanone"	""	""	NA	NA	NA	"C000594411"	167	7	4	"Phenols"
"164"	"2-amino-5-(pentafluorosulfanyl)phenol"	""	"71669136"	NA	NA	NA	"C000595493"	168	7	4	"Phenols"
"165"	"2,2'-((1E,1'E)-((1,2,5-oxadiazole-3,4-diyl)bis(azanylylidene))bis(methan-ylylidene))bis(4-(phenyldiazenyl)phenol"	""	""	NA	NA	NA	"C000595799"	169	7	4	"Phenols"
"166"	"3-(2'-hydroxy-5'-methylbenzoyl)pyridine"	""	""	NA	NA	NA	"C000596310"	170	7	4	"Phenols"
"167"	"p-decylaminophenol"	""	"44422682"	NA	NA	NA	"C000596441"	171	7	4	"Phenols"
"168"	"2-(4-phenyl)thiazol-2-ylamino)phenol"	""	""	NA	NA	NA	"C000596759"	172	7	4	"Phenols"
"169"	"2-(4-(4-chlorophenyl)thiazol-2-ylamino)phenol"	""	""	NA	NA	NA	"C000596760"	173	7	4	"Phenols"
"170"	"2,2'-((ethane-1,2-diylbis(azanediyl))bis(ethane-1,1-diyl))diphenol"	""	""	NA	NA	NA	"C000597537"	174	7	4	"Phenols"
"171"	"monofluorocresol purple"	""	""	NA	NA	NA	"C000597687"	175	7	4	"Phenols"
